ProblemNo,Connection,Cost
58,17406 : 3 -> 7 ; 12720 : 6 -> 13 ; 11407 : 8 -> 9 ; 11207 : 8 -> 10 ; 11093 : 15 -> 18 ; 13202 : 37 -> 46 ; 12149 : 16 -> 22 ; 12141 : 12 -> 13 ; 22406 : 16 -> 20 ; 03236 : 22 -> 23 ; 13120 : 57 -> 58,02:23:13:00
59,57274 : 34 -> 41 ; 15016 : 4 -> 6 ; 17214 : 11 -> 12 ; 12721 : 6 -> 39 ; 12183 : 5 -> 6 ; 15016 : 15 -> 16 ; 11016 : 12 -> 13,02:03:48:00
60,19943 : 8 -> 9 ; 12297 : 1 -> 2,98340
61,19131 : 1 -> 9 ; 12283 : 3 -> 5,99000
62,12490 : 14 -> 18,8520
63,14805 : 24 -> 34,21060
64,14805 : 33 -> 34,1500
65,18405 : 20 -> 33,41100
66,12283 : 4 -> 5,39300
67,14805 : 21 -> 34 ; 12490 : 16 -> 18,41580
68,19131 : 10 -> 21,27540
69,18405 : 3 -> 22,54300
70,14055 : 12 -> 19 ; 12346 : 2 -> 3 ; 15662 : 2 -> 3 ; 12346 : 4 -> 14 ; 12821 : 1 -> 2 ; 12262 : 2 -> 3 ; 12214 : 9 -> 11 ; 17405 : 36 -> 43 ; 17036 : 13 -> 14 ; 12214 : 12 -> 14 ; 17415 : 15 -> 24 ; 18047 : 39 -> 44,195540
71,18646 : 45 -> 58 ; 22823 : 5 -> 6 ; 12819 : 9 -> 10 ; 12319 : 7 -> 8 ; 12281 : 5 -> 6 ; 14257 : 32 -> 33 ; 12029 : 1 -> 7,102060
72,18209 : 1 -> 7 ; 12856 : 11 -> 17 ; 17005 : 12 -> 14 ; 22805 : 8 -> 9 ; 12101 : 13 -> 16 ; 13017 : 1 -> 3 ; 15643 : 9 -> 11 ; 13063 : 3 -> 4 ; 15643 : 12 -> 13,100560
73,59811 : 58 -> 71 ; 12403 : 9 -> 10 ; 12433 : 8 -> 10 ; 19325 : 13 -> 15 ; 12481 : 1 -> 12 ; 19224 : 30 -> 36 ; 54704 : 35 -> 36,70380
74,18624 : 6 -> 7 ; 18616 : 5 -> 15 ; 12262 : 2 -> 3 ; 12968 : 22 -> 23 ; 12810 : 22 -> 23 ; 12843 : 31 -> 33 ; 52994 : 1 -> 7,89580
75,11030 : 18 -> 19 ; 12148 : 19 -> 22 ; 12782 : 22 -> 25 ; 07324 : 1 -> 7 ; 22133 : 9 -> 11 ; 12732 : 8 -> 10,68880
76,18101 : 65 -> 66 ; 12472 : 2 -> 6 ; 15012 : 2 -> 5 ; 12018 : 4 -> 8 ; 12276 : 2 -> 3 ; 12320 : 5 -> 6 ; 12260 : 3 -> 4 ; 12315 : 1 -> 2,94200
77,12784 : 2 -> 3 ; 12707 : 12 -> 17 ; 12808 : 13 -> 19 ; 22845 : 12 -> 14 ; 18234 : 1 -> 17,68220
78,12520 : 10 -> 13 ; 14055 : 53 -> 56 ; 15003 : 8 -> 10,47340
79,59440 : 33 -> 36 ; 12950 : 26 -> 28 ; 11101 : 11 -> 14 ; 19061 : 9 -> 14 ; 19019 : 65 -> 69 ; 59811 : 57 -> 58,79020
